,trial,key,condition,freq_category,accuracy,start_time,end_time,reaction_time
0,sfinxen_sound,z,rw,LF,C,2.996142208998208,4.369637523996062,1.3734953149978537
1,help_sound,z,rw,HF,C,4.902368271999876,5.80947020399617,0.9071019319962943
2,idee_sound,z,rw,HF,C,6.357142868990195,7.209323563001817,0.8521806940116221
3,labber_sound,m,nw,none,C,7.744835637990036,8.657201821988565,0.9123661839985289
4,ponten_sound,z,rw,LF,C,9.200153482990572,10.07323063298827,0.8730771499976981
5,hen_sound,z,rw,HF,C,10.61291999000241,11.441343198996037,0.8284232089936268
6,herken_sound,z,nw,none,N,11.974314086997765,13.329358935996424,1.3550448489986593
7,bluit_sound,m,nw,none,C,13.865316835988779,15.08151305100182,1.216196215013042
8,juist_sound,z,rw,HF,C,15.620613930994296,16.537291454995284,0.9166775240009883
9,stengels_sound,m,rw,LF,N,17.075309505002224,18.177217835997,1.1019083309947746
10,buidels_sound,z,rw,LF,C,18.713750557988533,19.785205591993872,1.0714550340053393
11,spodiel_sound,m,nw,none,C,20.318871534997015,21.433435592989554,1.1145640579925384
12,gardien_sound,m,nw,none,C,21.974421424994944,23.353405513989856,1.3789840889949119
13,lanen_sound,z,rw,LF,C,23.89747747599904,25.19342590199085,1.29594842599181
14,topaas_sound,z,rw,LF,C,25.73617108698818,27.361391158992774,1.6252200720045948
15,udel_sound,m,nw,none,C,27.893533497990575,29.225395553992712,1.3318620560021373
16,beitels_sound,m,rw,LF,N,29.766738013990107,31.129270585995982,1.3625325720058754
17,werd_sound,m,rw,HF,N,31.672790198994335,33.22535642699222,1.552566227997886
18,rakot_sound,m,nw,none,C,33.76302440499421,34.76138739899034,0.9983629939961247
19,kijs_sound,m,nw,none,C,35.301351141999476,36.72946319699986,1.4281120550003834
20,snert_sound,m,rw,LF,N,37.27410681798938,38.84132882699487,1.5672220090054907
21,klaap_sound,m,nw,none,C,39.380788600989035,40.56221207199269,1.1814234710036544
22,plaats_sound,z,rw,HF,C,41.10360832000151,41.857478017001995,0.7538696970004821
23,hele_sound,z,rw,HF,C,42.391411819990026,43.241490696993424,0.8500788770033978
24,bezig_sound,z,rw,HF,C,43.779029265991994,44.70539507899957,0.9263658130075783
25,gimmel_sound,z,nw,none,N,45.25042693699652,46.29741581399867,1.0469888770021498
26,zolders_sound,m,rw,LF,N,46.838520833989605,48.40144536099979,1.562924527010182
27,rogenten_sound,m,nw,none,C,48.9445890700008,50.41745137599355,1.4728623059927486
28,zit_sound,z,rw,HF,C,50.95188492099987,51.849307368000154,0.897422447000281
29,ogen_sound,z,rw,HF,C,52.39030126600119,53.12131252299878,0.73101125699759
30,woei_sound,m,rw,LF,N,53.65998394000053,54.64925676499843,0.9892728249978973
31,hield_sound,m,rw,HF,N,55.1826607069961,56.28932977699151,1.1066690699954052
32,giep_sound,m,nw,none,C,56.8212152569904,57.67334983299952,0.8521345760091208
33,barse_sound,m,rw,LF,N,58.208095082998625,59.4172144740005,1.2091193910018774
34,kabrieken_sound,m,nw,none,C,59.94815959199332,61.1534067439934,1.2052471520000836
35,rufel_sound,m,nw,none,C,61.68725079498836,62.80949952598894,1.1222487310005818
36,recht_sound,z,rw,HF,C,63.34249724699475,64.30534921999788,0.9628519730031257
37,gietsen_sound,m,nw,none,C,64.84715786899324,65.90531592299521,1.0581580540019786
38,megen_sound,m,nw,none,C,66.43607204199361,67.56127238599584,1.1252003440022236
39,vlump_sound,m,nw,none,C,68.09110634299577,68.95324814699416,0.8621418039983837
40,mijk_sound,m,nw,none,C,69.49571548998938,70.6734600399941,1.177744550004718
41,sluinen_sound,m,nw,none,C,71.21808338200208,72.20935802499298,0.9912746429909021
42,bij_sound,z,rw,HF,C,72.73979623000196,73.60937287998968,0.8695766499877209
43,balkons_sound,m,rw,LF,N,74.14404548799212,75.72935543999483,1.5853099520027172
44,plin_sound,m,nw,none,C,76.26846221998858,77.19330666799215,0.9248444480035687
45,entel_sound,m,nw,none,C,77.72168535499077,78.5294033879909,0.8077180330001283
46,millag_sound,m,nw,none,C,79.05948680499569,79.88941731599334,0.8299305109976558
47,lijsters_sound,z,rw,LF,C,80.43216185799974,82.0335105129925,1.601348654992762
48,jaat_sound,m,nw,none,C,82.5714815389947,83.90529857699585,1.3338170380011434
49,gebeikt_sound,m,nw,none,C,84.44481404099497,85.5051998669951,1.0603858260001289
50,clusters_sound,z,rw,LF,C,86.0502900499996,87.49738673798856,1.4470966879889602
51,ging_sound,z,rw,HF,C,88.0394883229892,88.88148366298992,0.8419953400007216
52,zuun_sound,m,nw,none,C,89.41086593999353,90.39343326599919,0.9825673260056647
53,vraag_sound,z,rw,HF,C,90.9316312239971,91.83348053399823,0.9018493100011256
54,heren_sound,z,rw,HF,C,92.37032423299388,93.55340625699318,1.1830820239993045
55,uur_sound,z,rw,HF,C,94.09265034699638,94.77740370199899,0.6847533550026128
56,knaarde_sound,z,nw,none,N,95.3131462429883,97.13728401299159,1.82413777000329
57,gonsde_sound,z,rw,LF,C,97.67147584799386,99.82540318199608,2.153927334002219
58,stiraal_sound,m,nw,none,C,100.3635117179947,101.40926873299759,1.0457570150028914
59,rokan_sound,m,nw,none,C,101.95160467599635,102.96932808199199,1.017723405995639
60,breent_sound,m,nw,none,C,103.50751250098983,104.1613709499943,0.6538584490044741
61,wrongel_sound,m,rw,LF,N,104.69441474799532,105.80932797498826,1.1149132269929396
62,smaan_sound,m,nw,none,C,106.34917386599409,107.3693254779937,1.0201516119996086
63,hese_sound,z,rw,LF,C,107.90426595498866,109.20142362600018,1.2971576710115187
64,zag_sound,z,rw,HF,C,109.74371116999828,110.85744790299213,1.113736732993857
65,puien_sound,z,rw,LF,C,111.39945632999297,113.17741677600134,1.7779604460083647
66,doppel_sound,m,nw,none,C,113.7065477569995,114.84932074099197,1.1427729839924723
67,glijp_sound,z,nw,none,N,115.37809497199487,116.26535160798812,0.8872566359932534
68,nergen_sound,m,nw,none,C,116.7999892289954,117.69732939200185,0.8973401630064473
69,stodeum_sound,m,nw,none,C,118.23788388200046,119.07342387198878,0.8355399899883196
70,drintels_sound,m,nw,none,C,119.60862460899807,120.8333704550023,1.2247458460042253
71,gewunnen_sound,z,nw,none,N,121.3652340539993,122.53739431800204,1.1721602640027413
72,gemaakt_sound,z,rw,HF,C,123.06993425299879,123.88952531199902,0.8195910590002313
73,ambten_sound,m,rw,LF,N,124.42487291699217,125.32929809199413,0.9044251750019612
74,brum_sound,z,nw,none,N,125.8628683279967,126.71335717699549,0.8504888489987934
75,reigers_sound,z,rw,LF,C,127.25080893500126,128.42535655399843,1.1745476189971669
76,snarpen_sound,z,nw,none,N,128.956218997002,130.33725802999106,1.3810390329890652
77,grief_sound,m,rw,LF,N,130.8788485719997,132.11331680399599,1.2344682319962885
78,rogge_sound,m,rw,LF,N,132.65131626398943,133.60135152599833,0.9500352620088961
79,polders_sound,z,rw,LF,C,134.1399018279917,134.96938320499612,0.8294813770044129
80,eigen_sound,z,rw,HF,C,135.5108923989901,136.21733463699638,0.7064422380062751
81,redden_sound,z,rw,HF,C,136.74905341299018,137.7614395369892,1.012386123999022
82,flans_sound,m,rw,LF,N,138.31961433899414,139.4412300039985,1.1216156650043558
83,nammer_sound,m,nw,none,C,139.9757141309965,140.96117891700123,0.9854647860047407
84,gedaan_sound,z,rw,HF,C,141.4971558519901,142.28136734399595,0.784211492005852
85,vallen_sound,z,rw,HF,C,142.8262189369998,143.57730168299167,0.7510827459918801
86,jugen_sound,z,nw,none,N,144.12202837099903,145.4494969889929,1.3274686179938726
87,etui_sound,z,rw,LF,C,145.99518776898913,147.11328794699511,1.1181001780059887
88,vroel_sound,z,nw,none,N,147.65064905899635,148.63342035398819,0.982771294991835
89,pectars_sound,m,nw,none,C,149.1712710790016,150.70511535900005,1.5338442799984477
90,hard_sound,z,rw,HF,C,151.24562277799123,152.42524932899687,1.17962655100564
91,kuukt_sound,z,nw,none,N,152.977320289996,154.05730856499576,1.0799882749997778
92,liek_sound,z,nw,none,N,154.58934371199575,155.6736245659995,1.0842808540037367
93,schoffels_sound,m,rw,LF,N,156.21172557599493,157.35333134500252,1.1416057690075831
94,morgen_sound,z,rw,HF,C,157.88372760899074,158.617414576991,0.7336869680002565
95,pals_sound,z,nw,none,N,159.1545047510008,159.99336922899238,0.8388644779915921
96,moksen_sound,z,nw,none,N,160.52622078699642,161.64141542899597,1.115194641999551
97,kom_sound,z,rw,HF,C,162.1817196129996,162.8573643659911,0.6756447529915022
98,goont_sound,z,nw,none,N,163.41779202700127,164.24141182699532,0.8236197999940487
99,gefaapt_sound,z,nw,none,N,164.77250045898836,165.53761021100217,0.7651097520138137
100,bluurde_sound,m,nw,none,C,166.07737325500057,166.86543472699123,0.7880614719906589
101,klavier_sound,z,rw,LF,C,167.39847356799874,168.18546034098836,0.7869867729896214
102,plan_sound,m,rw,HF,N,168.73506875999738,169.33738520299084,0.6023164429934695
103,sjalot_sound,z,rw,LF,C,169.87252112900023,170.81017792499915,0.9376567959989188
104,murselein_sound,z,nw,none,N,171.34473440599686,172.2413910759933,0.896656669996446
105,wakker_sound,z,rw,HF,C,172.7907286080008,173.44956211200042,0.6588335039996309
106,leumen_sound,z,nw,none,N,173.9855023150012,174.7533962019952,0.7678938869939884
107,klaam_sound,z,nw,none,N,175.29007731800084,176.08139360199857,0.7913162839977304
108,kadders_sound,z,nw,none,N,176.61153589499008,177.29750027999398,0.6859643850038992
109,ant_sound,z,nw,none,N,177.8407273519988,178.56968705100007,0.7289596990012797
110,nef_sound,z,nw,none,N,179.1031286179932,179.8815817059949,0.7784530880016973
111,grede_sound,z,nw,none,N,180.424118748997,181.15349177300232,0.7293730240053264
112,women_sound,z,nw,none,N,181.70045366199338,182.37719177998952,0.6767381179961376
113,venkel_sound,z,rw,LF,C,182.924543902991,183.8572966060019,0.9327527030109195
114,begin_sound,z,rw,HF,C,184.38650240599236,185.08949250700243,0.702990101010073
115,los_sound,z,rw,HF,C,185.62403660100244,186.56133556299028,0.9372989619878354
116,plirken_sound,m,nw,none,C,187.09613631699176,187.80937816099322,0.713241844001459
117,dood_sound,m,rw,HF,N,188.36622864499805,189.2172069590015,0.8509783140034415
118,snoen_sound,m,nw,none,C,189.75431517200195,190.60132907298976,0.8470139009878039
119,rons_sound,m,nw,none,C,191.14226460299687,192.15321110899094,1.0109465059940703
120,brad_sound,m,nw,none,C,192.69777998598875,193.44129622400214,0.7435162380133988
121,gevels_sound,m,rw,LF,N,194.00121834599122,195.19345176700153,1.1922334210103145
122,slont_sound,m,nw,none,C,195.72398218700255,196.6253105509968,0.9013283639942529
123,rafel_sound,m,rw,LF,N,197.16086155700032,198.3775393370015,1.2166777800011914
124,sta_sound,m,rw,HF,N,198.91757746999792,199.96919579298992,1.0516183229919989
125,stekken_sound,m,rw,LF,N,200.50602707298822,201.47336499899393,0.9673379260057118
126,kandola_sound,z,nw,none,N,202.01065636899148,203.1056175010017,1.0949611320102122
127,vlorken_sound,m,nw,none,C,203.64928667599452,204.76928839299944,1.120001717004925
128,zoek_sound,z,rw,HF,C,205.30534956599877,206.16937974799657,0.8640301819978049
129,geweest_sound,z,rw,HF,C,206.709723078995,207.6655783669994,0.9558552880043862
130,bralat_sound,m,nw,none,C,208.19747636000102,208.9775426999986,0.7800663399975747
131,reden_sound,z,rw,HF,C,209.51786385200103,210.4094404609932,0.8915766089921817
132,juffen_sound,z,rw,LF,C,210.9401112380001,211.76956303299812,0.8294517949980218
133,deun_sound,m,rw,LF,N,212.31122916199092,213.2893456049933,0.9781164430023637
134,vrijk_sound,m,nw,none,C,213.83267991399043,214.95330452299095,1.1206246090005152
135,vebras_sound,m,nw,none,C,215.48837855899183,216.71323734198813,1.2248587829963071
136,ratels_sound,m,rw,LF,N,217.2438216599985,218.36938234399713,1.1255606839986285
137,pruit_sound,m,nw,none,C,218.89903005700035,220.39346140199632,1.4944313449959736
138,wist_sound,z,rw,HF,C,220.93917818598857,221.73739058499632,0.7982123990077525
139,bonkte_sound,m,rw,LF,N,222.27695096899697,223.07334854800138,0.796397579004406
140,loedsels_sound,m,nw,none,C,223.61478383999201,224.44930991099682,0.8345260710048024
141,boek_sound,z,rw,HF,C,224.9854220510024,225.63352829299401,0.648106241991627
142,prookt_sound,z,nw,none,N,226.17275191898807,227.19346729699464,1.020715378006571
143,wachten_sound,z,rw,HF,C,227.72768945299322,228.90550053599873,1.1778110830055084
144,pirrel_sound,m,nw,none,C,229.44937817699974,230.22537320699485,0.7759950299951015
145,kumus_sound,m,nw,none,C,230.75489398799255,231.7213186089939,0.9664246210013516
146,open_sound,z,rw,HF,C,232.2592608499981,233.0014768379915,0.7422159879934043
147,metrum_sound,m,rw,LF,N,233.546961739994,234.39325997099513,0.8462982310011284
148,baby_sound,z,rw,HF,C,234.93484630499734,235.5532685079961,0.6184222029987723
149,auto_sound,z,rw,HF,C,236.0875378560013,236.80148254599771,0.7139446899964241
150,spurt_sound,m,rw,LF,N,237.34315087700088,238.20919508898805,0.8660442119871732
151,stram_sound,m,rw,LF,N,238.76366750399757,239.58524499800114,0.8215774940035772
152,glaf_sound,m,nw,none,C,240.11835100299504,241.09751576499548,0.9791647620004369
153,verke_sound,m,nw,none,C,241.64010602599592,242.77728991399636,1.1371838880004361
154,kormel_sound,m,nw,none,C,243.32938431898947,244.1772676929977,0.8478833740082337
155,ploe_sound,m,nw,none,C,244.71644368099805,245.385297396002,0.6688537150039338
156,groeken_sound,m,nw,none,C,245.9201565449912,246.7135888819903,0.7934323369991034
157,plenk_sound,m,nw,none,C,247.25847142600105,247.9532476029999,0.6947761769988574
158,geslonden_sound,m,nw,none,C,248.51223150698934,249.64141108100011,1.1291795740107773
159,had_sound,z,rw,HF,C,250.18445938499644,251.03335396299371,0.848894577997271
160,gisten_sound,m,rw,LF,N,251.57228103200032,252.82537141199282,1.2530903799925
161,lome_sound,z,rw,LF,C,253.36118634599552,254.90551159800088,1.5443252520053647
162,fankel_sound,m,nw,none,C,255.45096745499177,256.83328296199034,1.382315506998566
163,schuiten_sound,m,rw,LF,N,257.3748466120014,258.2412066620018,0.8663600500003668
164,tombel_sound,z,nw,none,N,258.79582218998985,259.92945845199574,1.1336362620058935
165,fradingo_sound,m,nw,none,C,260.4685784710018,261.4092675649881,0.9406890939862933
166,suste_sound,z,rw,LF,C,261.94017093499133,262.9696354589978,1.029464524006471
167,bezans_sound,m,nw,none,C,263.5275495669921,264.617334687995,1.089785121002933
168,gevupt_sound,m,nw,none,C,265.14974834599707,266.4492830419913,1.2995346959942253
169,zeg_sound,z,rw,HF,C,266.9890128239931,268.0813302059978,1.092317382004694
170,imams_sound,m,rw,LF,N,268.61097055100254,269.68935038198833,1.0783798309857957
171,porde_sound,z,rw,LF,C,270.2323311359942,271.48134199899505,1.2490108630008763
172,sikkels_sound,m,rw,LF,N,272.021830822996,272.98527400099556,0.9634431779995793
173,zerder_sound,m,nw,none,C,273.5266022079886,274.3933087639889,0.8667065560002811
174,gesmalpt_sound,m,nw,none,C,274.93149837700184,276.16127539699664,1.229777019994799
175,zelijk_sound,m,nw,none,C,276.704205424001,277.7054224119929,1.0012169879919384
176,strotten_sound,m,rw,LF,N,278.2417251029983,279.01725522500055,0.7755301220022375
177,kwarp_sound,m,nw,none,C,279.5464831569989,280.81730310698913,1.2708199499902548
178,soort_sound,z,rw,HF,C,281.3523642139917,282.3934413949901,1.0410771809983999
179,oker_sound,m,rw,LF,N,282.9247437039885,283.80148804798955,0.8767443440010538
180,margriet_sound,z,rw,LF,C,284.3454403479991,285.4254168530024,1.0799765050032875
181,karpers_sound,z,rw,LF,C,285.9679770629882,286.92138644799707,0.9534093850088539
182,kiemeten_sound,m,nw,none,C,287.4556745229929,288.6253212719894,1.1696467489964562
183,hormen_sound,m,nw,none,C,289.1612459859898,289.8493131639989,0.6880671780090779
184,gaf_sound,m,rw,HF,N,290.38183928899525,291.2332418689912,0.85140257999592
185,gefruld_sound,m,nw,none,C,291.7699160149932,292.9854134329944,1.2154974180011777
186,rastel_sound,m,nw,none,C,293.5248993939895,294.40139867599646,0.8764992820069892
187,vroeg_sound,z,rw,HF,C,294.94691504799994,295.91336190799484,0.9664468599949032
188,trorg_sound,m,nw,none,C,296.4518331649888,297.14531934999104,0.6934861850022571
189,grantel_sound,m,nw,none,C,297.6884500879969,298.42529912099417,0.7368490329972701
190,darboen_sound,m,nw,none,C,298.95948460898944,299.70526805998816,0.7457834509987151
191,plond_sound,z,nw,none,N,300.24728153899196,301.2094266419881,0.9621451029961463
192,moeder_sound,z,rw,HF,C,301.75280046199623,302.5453063999885,0.7925059379922459
193,dacht_sound,z,rw,HF,C,303.0987152559974,303.7934323829977,0.694717127000331
194,rieve_sound,z,nw,none,N,304.3272818580008,305.337425730002,1.0101438720012084
195,monen_sound,m,nw,none,C,305.881664044995,306.70534490699356,0.8236808619985823
196,krijg_sound,z,rw,HF,C,307.25395240599755,307.99355951999314,0.7396071139955893
197,gals_sound,z,nw,none,N,308.5407167599915,309.1853219249897,0.644605164998211
198,kimensie_sound,z,nw,none,N,309.7277717709949,310.5374210019945,0.8096492309996393
199,lekker_sound,z,rw,HF,C,311.08192788698943,311.80951137898955,0.7275834920001216
